one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight
n,̪,a,ɕ,ɔ,k,ɔ,,,,,,,,,,,,,,,,,,,,,
t,ʰ,ɔ,k,ɔ,,,,,,,,,,,,,,,,,,,,,,,
̤,ɡ,̤,u,ʂ,,,,,,,,,,,,,,,,,,,,,,,
k,ʂ,i,p,t,̪,ɔ,,,,,,,,,,,,,,,,,,,,,
k,l,̪,a,n,̪,t,̪,i,,,,,,,,,,,,,,,,,,,
k,a,n,̪,n,̪,a,,,,,,,,,,,,,,,,,,,,,
a,l,̪,ɡ,a,,,,,,,,,,,,,,,,,,,,,,,
a,t,̪,m,ɔ,r,ɔ,k,ʂ,a,m,u,l,̪,ɔ,k,ɔ,,,,,,,,,,,
o,s,̪,b,i,k,ɽ,i,t,̪,,,,,,,,,,,,,,,,,,
o,b,o,j,d,̪,̤,b,̤,a,b,e,,,,,,,,,,,,,,,,
o,b,a,n,t,͡,ɕ,ʰ,i,t,̪,,,,,,,,,,,,,,,,,
o,d,̪,ɔ,k,ʂ,ɔ,,,,,,,,,,,,,,,,,,,,,
o,t,͡,ɕ,e,t,̪,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,
w,o,r,r,y,,,,,,,,,,,,,,,,,,,,,,,
r,e,d,u,n,d,a,n,t,,,,,,,,,,,,,,,,,,,
l,i,m,i,t,a,t,i,o,n,s,,,,,,,,,,,,,,,,,
f,a,i,l,,,,,,,,,,,,,,,,,,,,,,,,
d,i,e,d,,,,,,,,,,,,,,,,,,,,,,,,
c,o,n,f,l,i,c,t,s,,,,,,,,,,,,,,,,,,,
s,̪,a,m,r,a,d,͡,ʑ,d,͡,z,ɔ,b,a,d,̪,i,,,,,,,,,,
s,̪,ɔ,r,p,ɔ,,,,,,,,,,,,,,,,,,,,,,
s,̪,ɔ,n,̪,d,̪,i,h,a,n,̪,,,,,,,,,,,,,,,,
r,ɔ,s,̪,i,k,t,̪,a,,,,,,,,,,,,,,,,,,,
b,̤,u,l,̪,ɔ,k,r,ɔ,m,e,,,,,,,,,,,,,,,,,
b,̤,i,k,ʂ,a,,,,,,,,,,,,,,,,,,,,,,
b,e,a,i,n,̪,i,,,,,,,,,,,,,,,,,,,,,
b,i,ɕ,b,a,s,̪,ɔ,̤,ɡ,̤,a,t,̪,ɔ,k,ɔ,,,,,,,,,,,
b,ɔ,k,r,ɔ,t,̪,a,,,,,,,,,,,,,,,,,,,,
ɸ,d,͡,z,a,t,i,,,,,,,,,,,,,,,,,,,,,
p,i,ɽ,i,t,̪,,,,,,,,,,,,,,,,,,,,,,
d,̪,u,r,b,̤,a,ɡ,ɔ,d,͡,z,ɔ,b,ɔ,ɕ,ɔ,t,̪,ɔ,,,,,,,,
d,͡,ʑ,̤,ɔ,r,a,,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,u,l,̪,l,̪,i,,,,,,,,,,,,,,,,,,,
ɡ,a,d,̪,̤,a,,,,,,,,,,,,,,,,,,,,,,
k,ɔ,s,̪,a,i,,,,,,,,,,,,,,,,,,,,,,
k,ɔ,r,k,ɔ,ɕ,ɔ,,,,,,,,,,,,,,,,,,,,,
u,p,e,k,ʂ,i,t,̪,,,,,,,,,,,,,,,,,,,,
u,d,̪,b,a,e,̯,i,,,,,,,,,,,,,,,,,,,,
a,s,̪,a,m,i,,,,,,,,,,,,,,,,,,,,,,
a,t,̪,m,ɔ,t,̪,d,͡,z,a,ɡ,,,,,,,,,,,,,,,,
o,l,̪,ɔ,s,̪,ɔ,,,,,,,,,,,,,,,,,,,,,
o,b,ɔ,n,̪,ɔ,m,i,t,̪,,,,,,,,,,,,,,,,,,
o,p,a,r,ɔ,ɡ,ɔ,,,,,,,,,,,,,,,,,,,,,
o,n,̪,d,͡,z,a,e,̯,b,̤,a,b,e,,,,,,,,,,,,,,
o,n,̪,i,h,a,,,,,,,,,,,,,,,,,,,,,,
r,e,s,t,r,i,c,t,e,d,,,,,,,,,,,,,,,,,,
p,l,o,t,,,,,,,,,,,,,,,,,,,,,,,,
o,m,i,t,,,,,,,,,,,,,,,,,,,,,,,,
h,i,ŋ,s,̪,a,t,̪,m,ɔ,k,ɔ,,,,,,,,,,,,,,,,
s,̪,ɔ,n,̪,d,̪,e,h,ɔ,b,̤,a,d,͡,ʑ,ɔ,n,̪,ɔ,,,,,,,,
n,̪,ɽ,i,ɕ,ɔ,ŋ,s,̪,ɔ,b,̤,a,b,e,,,,,,,,,,,,,
d,̪,i,r,̤,ɡ,̤,a,e,̯,i,t,̪,,,,,,,,,,,,,,,
d,͡,ʑ,o,ঁ,k,ɔ,,,,,,,,,,,,,,,,,,,,,
ɡ,o,ঁ,ɽ,a,,,,,,,,,,,,,,,,,,,,,,,
ɡ,ɔ,n,d,i,,,,,,,,,,,,,,,,,,,,,,,
u,d,̪,a,s,̪,i,n,̪,,,,,,,,,,,,,,,,,,,
a,k,r,ɔ,m,ɔ,n,̪,a,t,̪,m,ɔ,k,ɔ,,,,,,,,,,,,,
o,b,s,̪,a,d,̪,,,,,,,,,,,,,,,,,,,,,
o,p,r,a,d,̪,̤,ɔ,m,u,l,̪,ɔ,k,ɔ,,,,,,,,,,,,,
o,n,̪,t,̪,ɔ,r,a,e,̯,,,,,,,,,,,,,,,,,,
o,d,̪,̤,ɔ,s,̪,t,̪,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,
o,k,e,d,͡,ʑ,o,,,,,,,,,,,,,,,,,,,,,
u,n,d,u,e,,,,,,,,,,,,,,,,,,,,,,,
o,f,f,e,n,s,i,v,e,,,,,,,,,,,,,,,,,,,
l,o,s,t,,,,,,,,,,,,,,,,,,,,,,,,
h,o,a,x,,,,,,,,,,,,,,,,,,,,,,,,
f,i,c,t,i,o,n,a,l,,,,,,,,,,,,,,,,,,,
d,i,s,a,b,l,e,,,,,,,,,,,,,,,,,,,,,
c,o,m,p,l,i,c,a,t,e,d,,,,,,,,,,,,,,,,,
s,̪,l,̪,e,b,̤,,,,,,,,,,,,,,,,,,,,,
ɕ,u,n,̪,d,͡,z,ɔ,t,̪,a,,,,,,,,,,,,,,,,,
l,̪,o,p,,,,,,,,,,,,,,,,,,,,,,,,
r,a,k,ʂ,ɔ,s,̪,ɔ,,,,,,,,,,,,,,,,,,,,
b,̤,r,ɔ,m,ɔ,,,,,,,,,,,,,,,,,,,,,,
b,d,͡,z,ɔ,t,̪,d,͡,z,e,̯,ɔ,,,,,,,,,,,,,,,
b,i,k,ɔ,l,̪,ɔ,,,,,,,,,,,,,,,,,,,,,
p,i,t,̪,t,̪,ɔ,,,,,,,,,,,,,,,,,,,,,
p,a,k,a,n,̪,o,,,,,,,,,,,,,,,,,,,,,
n,̪,i,t,̪,a,n,̪,t,̪,ɔ,,,,,,,,,,,,,,,,,
n,̪,a,ɕ,,,,,,,,,,,,,,,,,,,,,,,,
d,̪,u,r,b,o,d,̪,̤,d,͡,z,ɔ,,,,,,,,,,,,,,,
t,̪,r,u,t,i,p,u,r,n,ɔ,,,,,,,,,,,,,,,,,
k,a,r,a,b,a,s,̪,,,,,,,,,,,,,,,,,,,,
k,ɔ,l,̪,ɔ,ŋ,k,ɔ,,,,,,,,,,,,,,,,,,,,
i,r,ʂ,a,,,,,,,,,,,,,,,,,,,,,,,,
o,s,̪,ɔ,ŋ,ɡ,ɔ,t,̪,i,,,,,,,,,,,,,,,,,,
o,s,̪,ɔ,ŋ,l,̪,ɔ,ɡ,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,
o,m,s,̪,ɽ,i,n,,,,,,,,,,,,,,,,,,,,,
o,b,d,͡,z,ɔ,b,ɔ,h,ɽ,i,t,̪,,,,,,,,,,,,,,,
o,p,r,ɔ,t,̪,i,r,o,d,̪,̤,d,͡,z,ɔ,,,,,,,,,,,,
o,n,̪,i,t,͡,ɕ,t,͡,ɕ,ʰ,a,,,,,,,,,,,,,,,,
o,k,ɽ,i,t,̪,r,i,m,,,,,,,,,,,,,,,,,,,
t,r,i,c,k,,,,,,,,,,,,,,,,,,,,,,,
t,e,n,s,e,,,,,,,,,,,,,,,,,,,,,,,
l,o,s,s,,,,,,,,,,,,,,,,,,,,,,,,
i,g,n,o,r,e,,,,,,,,,,,,,,,,,,,,,,
b,l,a,t,a,n,t,,,,,,,,,,,,,,,,,,,,,
a,r,b,i,t,r,a,r,y,,,,,,,,,,,,,,,,,,,
h,a,s,̪,d,͡,z,ɔ,k,ɔ,r,ɔ,,,,,,,,,,,,,,,,
ɕ,l,̪,e,ʂ,a,t,̪,m,ɔ,k,ɔ,,,,,,,,,,,,,,,,
m,ɔ,r,i,t,͡,ɕ,a,,,,,,,,,,,,,,,,,,,,
b,̤,o,ঁ,t,̪,a,,,,,,,,,,,,,,,,,,,,,
b,̤,u,ɡ,t,͡,ɕ,ʰ,e,n,̪,,,,,,,,,,,,,,,,,
b,̤,i,l,̪,e,n,̪,,,,,,,,,,,,,,,,,,,,
b,̤,a,ŋ,ɡ,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,,
b,i,ʂ,a,d,̪,,,,,,,,,,,,,,,,,,,,,,
b,a,l,̪,u,k,a,m,e,̯,ɔ,,,,,,,,,,,,,,,,,
b,e,̯,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,,,,
p,r,a,n,ɔ,̤,ɡ,̤,a,t,̪,i,,,,,,,,,,,,,,,,
p,r,ɔ,t,̪,i,b,ɔ,n,̪,d,̪,̤,i,,,,,,,,,,,,,,
p,r,ɔ,t,͡,ɕ,ɔ,n,d,ɔ,b,̤,a,b,e,,,,,,,,,,,,,
p,i,t,͡,ɕ,t,͡,ɕ,ʰ,i,l,̪,,,,,,,,,,,,,,,,
n,̪,i,t,͡,ɕ,,,,,,,,,,,,,,,,,,,,,,
d,e,d,͡,ʑ,,,,,,,,,,,,,,,,,,,,,,,
t,o,p,,,,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʑ,̤,ɔ,ɡ,ɔ,ɽ,a,,,,,,,,,,,,,,,,,,,
d,͡,ʑ,u,l,̪,u,m,,,,,,,,,,,,,,,,,,,,
d,͡,ʑ,i,r,n,ɔ,,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,e,r,a,,,,,,,,,,,,,,,,,,,,,,
ɡ,o,l,̪,m,a,l,̪,,,,,,,,,,,,,,,,,,,,
k,ʰ,o,ঁ,ɽ,a,,,,,,,,,,,,,,,,,,,,,,
k,ʰ,ɔ,n,d,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,,
k,ʰ,ɔ,ɽ,ɔ,m,ɔ,,,,,,,,,,,,,,,,,,,,,
k,u,e,̯,a,ɕ,a,t,͡,ɕ,t,͡,ɕ,ʰ,ɔ,n,̪,n,̪,ɔ,,,,,,,,
k,u,t,ʰ,a,r,,,,,,,,,,,,,,,,,,,,,,
k,a,t,ʰ,i,n,̪,d,͡,z,ɔ,,,,,,,,,,,,,,,,,
u,n,̪,m,ɔ,t,̪,t,̪,ɔ,,,,,,,,,,,,,,,,,,
a,p,ɔ,t,̪,t,̪,i,k,ɔ,r,ɔ,,,,,,,,,,,,,,,,
o,s,̪,b,ɔ,s,̪,t,̪,i,,,,,,,,,,,,,,,,,,
o,s,̪,ɔ,m,ɔ,t,̪,a,,,,,,,,,,,,,,,,,,,
o,n,̪,ɔ,m,ɔ,n,̪,i,e,̯,,,,,,,,,,,,,,,,,
o,k,ʂ,ɔ,m,ɔ,t,̪,a,,,,,,,,,,,,,,,,,,,
s,l,o,w,,,,,,,,,,,,,,,,,,,,,,,,
p,u,p,p,e,t,,,,,,,,,,,,,,,,,,,,,,
m,i,s,l,e,a,d,i,n,g,,,,,,,,,,,,,,,,,,
k,i,l,l,e,d,,,,,,,,,,,,,,,,,,,,,,
i,n,f,r,i,n,g,e,m,e,n,t,,,,,,,,,,,,,,,,
i,n,c,o,r,r,e,c,t,l,y,,,,,,,,,,,,,,,,,
i,m,p,o,s,s,i,b,l,e,,,,,,,,,,,,,,,,,,
f,a,i,l,s,,,,,,,,,,,,,,,,,,,,,,,
d,e,n,y,,,,,,,,,,,,,,,,,,,,,,,,
h,i,m,,,,,,,,,,,,,,,,,,,,,,,,,
l,̪,a,n,t,͡,ɕ,ʰ,i,t,̪,,,,,,,,,,,,,,,,,
m,a,k,ʰ,a,n,̪,o,,,,,,,,,,,,,,,,,,,,
b,i,d,̪,r,u,p,a,t,̪,m,ɔ,k,ɔ,,,,,,,,,,,,,,
b,i,t,͡,ɕ,ʰ,i,n,̪,n,̪,ɔ,,,,,,,,,,,,,,,,
ɸ,e,l,̪,,,,,,,,,,,,,,,,,,,,,,,,
ɸ,u,t,o,,,,,,,,,,,,,,,,,,,,,,,,
n,̪,i,p,u,n,,,,,,,,,,,,,,,,,,,,,,
t,̪,i,r,ɔ,s,̪,k,a,r,,,,,,,,,,,,,,,,,,
d,r,e,n,̪,,,,,,,,,,,,,,,,,,,,,,,
d,a,r,k,ɔ,n,̪,e,s,̪,,,,,,,,,,,,,,,,,,
d,͡,ʑ,ɔ,n,̪,a,k,i,r,n,ɔ,,,,,,,,,,,,,,,,
d,͡,ʑ,ɔ,̤,ɡ,̤,ɔ,n,̪,d,͡,z,ɔ,,,,,,,,,,,,,,
t,͡,ɕ,ʰ,ɔ,l,̪,ɔ,n,̪,a,,,,,,,,,,,,,,,,,
k,ʂ,ɔ,m,ɔ,t,̪,a,h,i,n,̪,,,,,,,,,,,,,,,,
a,ɸ,i,m,,,,,,,,,,,,,,,,,,,,,,,,
a,ঁ,k,a,b,ɔ,̃,k,a,,,,,,,,,,,,,,,,,,,
o,s,̪,ɔ,t,̪,ɔ,,,,,,,,,,,,,,,,,,,,,
o,s,̪,m,e,̯,e,,,,,,,,,,,,,,,,,,,,,
o,ɕ,l,̪,i,l,̪,t,̪,a,r,,,,,,,,,,,,,,,,,
o,ɕ,l,̪,i,l,̪,t,̪,a,,,,,,,,,,,,,,,,,,
o,r,a,d,͡,ʑ,ɔ,k,ɔ,t,̪,a,,,,,,,,,,,,,,,,
o,n,̪,d,̪,̤,ɔ,k,a,r,a,t,͡,ɕ,t,͡,ɕ,ʰ,ɔ,n,̪,n,̪,ɔ,,,,
o,n,̪,u,t,͡,ɕ,i,t,̪,,,,,,,,,,,,,,,,,,
o,n,̪,i,e,̯,ɔ,m,ɔ,,,,,,,,,,,,,,,,,,,
o,t,̪,i,r,ɔ,n,d,͡,ʑ,i,t,̪,,,,,,,,,,,,,,,
u,n,e,x,p,e,c,t,e,d,,,,,,,,,,,,,,,,,,
u,n,c,i,v,i,l,,,,,,,,,,,,,,,,,,,,,
u,n,a,b,l,e,,,,,,,,,,,,,,,,,,,,,,
t,r,i,v,i,a,l,,,,,,,,,,,,,,,,,,,,,
s,t,a,t,i,c,,,,,,,,,,,,,,,,,,,,,,
s,h,a,r,k,,,,,,,,,,,,,,,,,,,,,,,
r,e,j,e,c,t,e,d,,,,,,,,,,,,,,,,,,,,
p,r,o,b,l,e,m,a,t,i,c,,,,,,,,,,,,,,,,,
l,i,m,i,t,s,,,,,,,,,,,,,,,,,,,,,,
i,r,r,e,l,e,v,a,n,t,,,,,,,,,,,,,,,,,,
i,n,a,c,c,u,r,a,t,e,,,,,,,,,,,,,,,,,,
i,l,l,e,g,a,l,,,,,,,,,,,,,,,,,,,,,
h,a,r,m,,,,,,,,,,,,,,,,,,,,,,,,
d,a,m,a,g,e,,,,,,,,,,,,,,,,,,,,,,
a,b,o,r,t,,,,,,,,,,,,,,,,,,,,,,,
h,e,̯,ɔ,r,a,n,̪,i,,,,,,,,,,,,,,,,,,,
s,̪,t,d,͡,z,a,t,i,k,,,,,,,,,,,,,,,,,,
s,̪,ɔ,n,̪,t,̪,r,a,s,̪,b,a,d,̪,,,,,,,,,,,,,
ɕ,ɔ,ŋ,k,i,t,̪,,,,,,,,,,,,,,,,,,,,,
m,e,̤,ɡ,̤,ɔ,l,̪,a,,,,,,,,,,,,,,,,,,,
b,̤,ɔ,b,i,ʂ,d,͡,z,ɔ,,,,,,,,,,,,,,,,,,
b,i,b,̤,ɔ,t,̪,ɔ,s,̪,ɔ,,,,,,,,,,,,,,,,,
b,ɔ,r,d,͡,ʑ,i,t,̪,,,,,,,,,,,,,,,,,,,
ɸ,u,t,ɔ,n,̪,t,̪,ɔ,,,,,,,,,,,,,,,,,,,
p,r,ɔ,t,̪,i,b,̤,u,,,,,,,,,,,,,,,,,,,
p,r,ɔ,k,ʂ,i,p,t,̪,ɔ,,,,,,,,,,,,,,,,,,
p,a,ɕ,b,i,k,,,,,,,,,,,,,,,,,,,,,,
d,̪,̤,u,l,̪,i,k,n,a,,,,,,,,,,,,,,,,,,
d,̪,̤,u,l,̪,a,,,,,,,,,,,,,,,,,,,,,
d,̪,u,r,a,r,o,ɡ,ɔ,d,͡,z,ɔ,,,,,,,,,,,,,,,
t,̪,ɔ,t,͡,ɕ,ʰ,ɔ,n,̪,ɔ,t,͡,ɕ,ʰ,ɔ,,,,,,,,,,,,
d,͡,ʑ,ɔ,̃,k,ɔ,d,͡,ʑ,ɔ,m,ɔ,k,ɔ,p,u,r,n,ɔ,,,,,,,,
d,͡,ʑ,ɔ,n,̪,ɔ,ɕ,u,n,̪,d,͡,z,ɔ,,,,,,,,,,,,,
t,͡,ɕ,u,l,̪,k,a,n,̪,i,,,,,,,,,,,,,,,,,
k,ʰ,e,d,̪,,,,,,,,,,,,,,,,,,,,,,,
k,ʰ,ɔ,̃,d,͡,ʑ,ɔ,k,a,t,a,,,,,,,,,,,,,,,,
k,r,d,͡,z,a,ɕ,,,,,,,,,,,,,,,,,,,,,
k,ɔ,b,u,l,̪,,,,,,,,,,,,,,,,,,,,,,
u,p,ɔ,h,a,s,̪,,,,,,,,,,,,,,,,,,,,,
o,s,̪,b,a,s,̪,t,̪,ʰ,d,͡,z,ɔ,k,ɔ,r,ɔ,,,,,,,,,,
o,s,̪,a,d,̪,̤,u,,,,,,,,,,,,,,,,,,,,
o,l,̪,ɔ,ŋ,k,ɽ,i,t,̪,,,,,,,,,,,,,,,,,,
o,b,i,t,͡,ɕ,a,r,,,,,,,,,,,,,,,,,,,,
u,n,w,a,n,t,e,d,,,,,,,,,,,,,,,,,,,,
u,n,u,s,u,a,l,,,,,,,,,,,,,,,,,,,,,
s,u,s,p,e,c,t,,,,,,,,,,,,,,,,,,,,,
s,p,l,i,t,t,i,n,g,,,,,,,,,,,,,,,,,,,
h,a,r,a,s,s,m,e,n,t,,,,,,,,,,,,,,,,,,
s,̪,b,i,k,a,r,o,k,t,̪,i,,,,,,,,,,,,,,,,
s,̪,p,ɔ,n,̪,d,̪,i,t,̪,,,,,,,,,,,,,,,,,
m,o,w,l,̪,b,a,d,̪,,,,,,,,,,,,,,,,,,,
m,ɽ,i,t,̪,ɔ,p,r,a,e,̯,,,,,,,,,,,,,,,,,
m,a,m,u,l,̪,i,,,,,,,,,,,,,,,,,,,,,
m,ɔ,n,̪,t,̪,ʰ,ɔ,r,ɔ,,,,,,,,,,,,,,,,,,
b,̤,u,l,̪,b,̤,a,b,e,,,,,,,,,,,,,,,,,,
b,i,b,̤,r,a,n,̪,t,̪,i,k,ɔ,r,ɔ,,,,,,,,,,,,,
b,i,n,̪,e,̯,i,,,,,,,,,,,,,,,,,,,,,
p,r,ɔ,t,̪,a,r,i,t,̪,,,,,,,,,,,,,,,,,,
p,ɔ,k,ʂ,ɔ,p,a,t,̪,,,,,,,,,,,,,,,,,,,
n,̪,o,j,r,a,d,͡,ʑ,d,͡,z,ɔ,,,,,,,,,,,,,,,
n,̪,i,r,d,̪,e,̯,ɔ,,,,,,,,,,,,,,,,,,,
n,̪,i,k,ɽ,i,ʂ,t,ɔ,,,,,,,,,,,,,,,,,,,
d,̪,̤,o,ঁ,k,a,,,,,,,,,,,,,,,,,,,,,
d,̪,̤,u,l,̪,o,,,,,,,,,,,,,,,,,,,,,
d,̪,̤,ɔ,̃,d,̪,̤,a,,,,,,,,,,,,,,,,,,,
d,̪,b,i,d,̪,̤,a,ɡ,ɔ,r,ɔ,s,̪,t,̪,ɔ,,,,,,,,,,,
d,̪,u,r,b,̤,o,ɡ,,,,,,,,,,,,,,,,,,,,
t,͡,ɕ,ʰ,i,n,̪,n,̪,ɔ,b,̤,i,n,̪,n,̪,ɔ,,,,,,,,,,
t,͡,ɕ,ɔ,m,ɔ,k,ɔ,,,,,,,,,,,,,,,,,,,,
̤,ɡ,̤,ɽ,i,n,d,͡,z,ɔ,,,,,,,,,,,,,,,,,,
ɡ,ɔ,r,ɔ,s,̪,ɔ,,,,,,,,,,,,,,,,,,,,,
k,i,ŋ,k,ɔ,r,t,̪,ɔ,b,d,͡,z,ɔ,b,i,m,u,ɽ,̤,,,,,,,,
u,t,͡,ɕ,t,͡,ɕ,ʰ,ɽ,i,ŋ,k,ʰ,ɔ,l,̪,ɔ,,,,,,,,,,,
o,s,̪,b,a,b,̤,a,b,i,k,t,̪,a,,,,,,,,,,,,,,
o,p,r,i,t,̪,i,k,ɔ,r,ɔ,,,,,,,,,,,,,,,,,
o,p,r,ɔ,t,̪,d,͡,z,a,ɕ,i,t,̪,b,̤,a,b,e,,,,,,,,,
o,n,̪,i,t,͡,ɕ,t,͡,ɕ,ʰ,u,k,,,,,,,,,,,,,,,
o,d,͡,ʑ,n,ɔ,t,̪,a,,,,,,,,,,,,,,,,,,,
r,e,s,t,r,i,c,t,i,o,n,,,,,,,,,,,,,,,,,
p,o,o,r,,,,,,,,,,,,,,,,,,,,,,,,
f,a,l,l,e,n,,,,,,,,,,,,,,,,,,,,,,
c,o,n,t,r,o,v,e,r,s,y,,,,,,,,,,,,,,,,,
c,o,n,f,u,s,e,,,,,,,,,,,,,,,,,,,,,
h,u,ঁ,ɕ,i,e,̯,a,r,,,,,,,,,,,,,,,,,,,
s,̪,b,e,t,͡,ɕ,t,͡,ɕ,ʰ,a,t,͡,ɕ,a,r,i,,,,,,,,,,
ɕ,b,a,s,̪,n,̪,a,l,̪,i,,,,,,,,,,,,,,,,,
l,̪,o,k,s,̪,a,n,̪,,,,,,,,,,,,,,,,,,,
l,̪,a,n,t,͡,ɕ,ʰ,ɔ,n,̪,a,,,,,,,,,,,,,,,,
r,a,ɡ,a,n,̪,b,i,t,̪,,,,,,,,,,,,,,,,,,
r,ɔ,h,ɔ,s,̪,d,͡,z,ɔ,d,͡,ʑ,ɔ,n,̪,ɔ,k,ɔ,b,̤,a,b,e,,,,
b,̤,i,n,̪,n,̪,ɔ,m,ɔ,t,̪,ɔ,,,,,,,,,,,,,,,
b,̤,i,t,̪,t,̪,i,h,i,n,̪,,,,,,,,,,,,,,,,
b,o,j,ʂ,ɔ,m,d,͡,z,ɔ,m,u,l,̪,ɔ,k,ɔ,,,,,,,,,,,
b,a,d,̪,̤,a,d,̪,a,n,̪,e,r,,,,,,,,,,,,,,,
ɸ,d,͡,z,a,s,̪,i,b,a,d,̪,i,,,,,,,,,,,,,,,
ɸ,d,͡,z,a,k,a,ɕ,e,,,,,,,,,,,,,,,,,,,
p,ɔ,d,̪,ɔ,t,͡,ɕ,i,h,n,̪,ɔ,,,,,,,,,,,,,,,
p,ɔ,t,̪,ɔ,n,̪,ɔ,ɕ,i,l,̪,,,,,,,,,,,,,,,,
n,̪,o,j,r,a,d,͡,ʑ,d,͡,z,ɔ,b,a,d,̪,,,,,,,,,,,
n,̪,i,r,d,͡,ʑ,i,b,,,,,,,,,,,,,,,,,,,
n,̪,i,r,ɔ,l,̪,ɔ,s,̪,ɔ,b,̤,a,b,e,,,,,,,,,,,,
d,͡,ʑ,i,m,m,i,,,,,,,,,,,,,,,,,,,,,
d,͡,ʑ,a,l,̪,i,e,̯,a,t,̪,i,,,,,,,,,,,,,,,
k,ʰ,ɔ,l,̪,ɔ,,,,,,,,,,,,,,,,,,,,,,
k,r,i,t,̪,d,̪,a,s,̪,ɔ,d,̪,e,r,,,,,,,,,,,,,
o,w,d,̪,a,s,̪,i,n,̪,d,͡,z,ɔ,,,,,,,,,,,,,,
e,t,̪,i,m,,,,,,,,,,,,,,,,,,,,,,,
u,t,̪,r,a,i,,,,,,,,,,,,,,,,,,,,,,
a,ঁ,ɕ,ɔ,d,͡,z,u,k,t,̪,ɔ,,,,,,,,,,,,,,,,
o,s,̪,b,ɔ,t,͡,ɕ,t,͡,ɕ,ʰ,ɔ,,,,,,,,,,,,,,,
o,ɕ,a,n,̪,t,̪,i,,,,,,,,,,,,,,,,,,,,
o,m,u,l,̪,ɔ,k,ɔ,,,,,,,,,,,,,,,,,,,,
o,b,̤,i,̤,ɡ,̤,a,t,̪,,,,,,,,,,,,,,,,,,
o,b,ɔ,ɕ,ɔ,,,,,,,,,,,,,,,,,,,,,,,
o,b,ɔ,d,͡,ʑ,n,a,,,,,,,,,,,,,,,,,,,,
o,p,m,a,n,̪,ɔ,d,͡,ʑ,ɔ,n,̪,ɔ,k,ɔ,,,,,,,,,,,,
o,n,̪,a,s,̪,t,̪,ʰ,a,,,,,,,,,,,,,,,,,,
o,n,̪,b,̤,i,d,͡,ʑ,n,ɔ,,,,,,,,,,,,,,,,,
o,d,̪,̤,ɔ,ঃ,p,ɔ,t,̪,ɔ,n,̪,ɔ,,,,,,,,,,,,,,
t,r,o,u,b,l,e,,,,,,,,,,,,,,,,,,,,,
s,t,r,e,s,s,,,,,,,,,,,,,,,,,,,,,,
s,o,r,r,y,,,,,,,,,,,,,,,,,,,,,,,
r,a,n,d,o,m,l,y,,,,,,,,,,,,,,,,,,,,
q,u,e,s,t,i,o,n,a,b,l,e,,,,,,,,,,,,,,,,
o,r,p,h,a,n,,,,,,,,,,,,,,,,,,,,,,
o,b,j,e,c,t,i,o,n,s,,,,,,,,,,,,,,,,,,
m,i,s,u,s,e,,,,,,,,,,,,,,,,,,,,,,
i,n,c,i,v,i,l,i,t,y,,,,,,,,,,,,,,,,,,
h,a,c,k,,,,,,,,,,,,,,,,,,,,,,,,
f,a,i,l,u,r,e,,,,,,,,,,,,,,,,,,,,,
d,i,s,c,o,u,r,a,g,e,,,,,,,,,,,,,,,,,,
d,i,f,f,i,c,u,l,t,y,,,,,,,,,,,,,,,,,,
d,e,l,a,y,,,,,,,,,,,,,,,,,,,,,,,
d,a,r,k,,,,,,,,,,,,,,,,,,,,,,,,
b,i,a,s,,,,,,,,,,,,,,,,,,,,,,,,
a,b,o,r,t,e,d,,,,,,,,,,,,,,,,,,,,,
h,i,m,ɕ,i,t,̪,ɔ,l,̪,ɔ,,,,,,,,,,,,,,,,,
s,̪,b,o,j,r,ɕ,a,s,̪,ɔ,n,̪,ɔ,,,,,,,,,,,,,,
s,̪,n,̪,a,e,̯,b,i,k,,,,,,,,,,,,,,,,,,
s,̪,t,̪,ɔ,n,̪,d,͡,z,ɔ,p,a,n,̪,,,,,,,,,,,,,
s,̪,e,k,e,l,̪,e,,,,,,,,,,,,,,,,,,,,
s,̪,ɔ,s,̪,t,̪,a,e,̯,,,,,,,,,,,,,,,,,,
s,̪,ɔ,ŋ,ɕ,e,̯,ɔ,b,a,d,̪,,,,,,,,,,,,,,,,
l,̪,a,t,,,,,,,,,,,,,,,,,,,,,,,,
b,̤,i,t,̪,i,k,ɔ,r,ɔ,,,,,,,,,,,,,,,,,,
b,i,t,̪,ɽ,i,ʂ,n,a,,,,,,,,,,,,,,,,,,,
b,i,t,̪,a,ɽ,ɔ,n,̪,ɔ,,,,,,,,,,,,,,,,,,
b,ɔ,n,̪,d,̪,̤,d,͡,z,a,,,,,,,,,,,,,,,,,
ɸ,o,l,̪,a,,,,,,,,,,,,,,,,,,,,,,,
