"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"d","e","s","p","e","x","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","l","i","t","i","s","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","l","m","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","k","t","i","f","i","k","a","s","i","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","p","<U+027E>","i","m","i","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","t","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","t","<U+027E>","a","k","t","i","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","f","o","<U+027E>","t","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","l","s","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","e","k","s","p","u","g","n","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","n","t","<U+027E>","e","t","e","n","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","u","n","t","j","a","g","w","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","m","a","b","l","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","r","e","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","a","b","u","l","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","i","l","a","g","<U+027E>","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","n","s","j","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","<U+027E>","a","s","s","e","n","d","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","f","<U+027E>","e","s","k","a","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","s","i","t","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","n","<U+027E>","a","d","e","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","s","b","e","l","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","<U+027E>","a","b","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","a","d","j","a","d","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","i","n","a","k","u","l","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","s","t","e","<U+029D>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d","i","n","e","<U+027E>","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","l","t","<U+027E>","w","i","s","t","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","w","a","b","i","s","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","<U+027E>","u","x","j","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","a","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","s","a","l","t","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","f","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","s","p","<U+027E>","e","n","d","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","<U+027E>","o","<U+027E>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","d","u","k","t","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","a","l","s","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","u","<U+027E>","a","s","n","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","a","u","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","j","e","n","b","e","n","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","o","t","u","b","e","<U+027E>","a","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","b","<U+027E>","e","s","a","l","i","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","s","m","e","<U+027E>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","t","a","x","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","<U+029D>","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","b","e","n","t","i","b","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","<U+027E>","a","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","i","<U+027E>","m","a","m","e","n","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","e","<U+027E>","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u","t","i","l","i","s","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","n","s","a","s","i","o","n","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","<U+027E>","i","<U+029D>","a","n","t","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","l","a","b","a","n","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","s","s","i","t","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","o","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","n","<U+027E>","j","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","l","e","i","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","u","<U+027E>","a","<U+027E>","s","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","s","g","w","a","<U+027E>","d","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","s","t","u","p","e","n","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","s","m","o","n","t","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","a","l","j","e","n","t","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","<U+027E>","m","o","s","u","<U+027E>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","e","n","e","<U+027E>","o","s","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","l","i","s","i","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","p","e","<U+027E>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","l","e","n","t","o","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","l","i","s","i","t","a","s","i","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","<U+027E>","t","e","<U+027E>","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d","a","p","t","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","e","x","i","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","k","e","b","<U+027E>","a","n","t","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","n","t","u","s","j","a","s","m","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","e","x","i","t","i","m","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","o","n","d","a","d","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","l","a","<U+027E>","i","f","i","k","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","g","n","i","f","i","s","e","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","<U+027E>","m","o","n","i","s","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","e","s","a","x","i","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","k","<U+027E>","e","t","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","<U+029D>","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","m","i","n","e","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","a","b","o","<U+027E>","j","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","m","p","<U+027E>","e","s","j","o","n","a","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","a","<U+027E>","a","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","b","i","b","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","t","e","l","i","x","i","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","e","s","t","<U+027E>","u","k","t","u","<U+027E>","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","n","x","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","n","x","e","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","t","i","l","a","d","o","<U+027E>","e","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","l","o","k","o","t","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","<U+027E>","o","m","p","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","s","i","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","t","<U+027E>","i","g","a","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","s","i","s","t","e","n","t","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA
"<U+027E>","e","k","o","m","p","e","n","s","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","b","s","o","<U+027E>","b","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","o","s","i","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","s","o","m","b","<U+027E>","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","e","b","o","l","e","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","s","p","a","l","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","o","b","i","d","e","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","a","l","s","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","<U+027E>","e","s","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","e","s","t","i","m","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","k","w","e","s","t","j","o","n","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA
"a","l","e","g","<U+027E>","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"w","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n","i","t","i","d","e","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","<U+029D>","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p","a","s","j","o","n","a","d","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA
"d","e","s","l","u","m","b","<U+027E>","a","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","g","o","s","i","x","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","f","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","d","i","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","n","t","w","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","d","u","l","x","e","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","w","s","t","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","o","l","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","n","e","x","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","d","u","s","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","n","o","<U+027E>","a","m","i","k","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","s","p","u","n","t","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","<U+027E>","a","t","e","<U+027E>","n","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","b","e","d","j","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","n","d","e","s","i","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","k","o","m","o","d","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","f","a","l","i","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","k","t","i","f","i","k","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","e","<U+027E>","d","u","<U+027E>","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","l","o","<U+027E>","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","i","d","e","i","k","o","m","i","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","s","u","m","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","<U+029D>","e","b","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","o","l","i","d","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","m","p","<U+027E>","e","s","j","o","n","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","<U+027E>","o","i","k","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","a","l","a","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","a","l","e","<U+027E>","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","l","i","s","i","t","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","f","i","n","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d","o","<U+027E>","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","a","p","a","d","e","<U+027E>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","k","o","n","d","i","s","i","o","n","a","l","m","e","n","t","e",NA,NA,NA,NA
"e","n","b","i","d","j","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","m","b","e","<U+029D>","e","s","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","k","o","x","e","d","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","e","e","m","i","n","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","a","l","a","s","i","e","g","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","e","a","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","d","e","a","l","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","s","t","i","<U+027E>","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","e","k","i","b","o","k","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA
"e","k","i","t","a","t","i","b","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d","w","e","<U+0272>","a","<U+027E>","s","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","m","o","b","e","d","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","t","<U+027E>","i","n","k","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","<U+029D>","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","<U+027E>","e","a","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","b","s","e","s","j","o","n","e","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","a","d","j","o","a","k","t","i","b","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","j","e","n","b","e","n","i","d","o","s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","m","a","x","i","n","a","t","i","b","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","<U+027E>","a","n","k","e","s","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o","s","a","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","s","a","l","t","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","s","i","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","u","s","t","<U+027E>","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g","<U+027E>","a","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","x","u","s","t","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","o","<U+027E>","t","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","e","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","b","u","l","n","e","<U+027E>","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","a","m","o","t","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","j","e","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","o","d","i","x","i","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","e","g","a","d","i","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","s","u","b","e","<U+027E>","a","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","t","i","k","u","l","o","s","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA
"e","s","p","a","s","i","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k","o","n","s","i","l","j","a","d","o","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d","a","p","t","a","t","i","b","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","<U+027E>","m","e","n","t","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f","e","n","o","m","e","n","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","o","d","i","g","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","k","i","t","a","t","i","b","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA
"t","e","<U+027E>","m","o","n","u","k","l","e","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"x","o","b","j","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","l","a","b","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e","s","p","e","k","t","a","k","u","l","a","<U+027E>","m","e","n","t","e",NA,NA,NA,NA,NA
"k","o","n","s","i","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","i","m","p","l","i","f","i","k","a","n","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","<U+027E>","m","o","n","j","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","s","p","l","a","n","d","e","s","i","e","n","t","e",NA,NA,NA,NA,NA,NA,NA
"d","e","l","i","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","n","x","e","l","i","k","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","e","t","i","k","u","l","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","d","o","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","a","d","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","p","l","a","s","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","s","m","o","n","t","a","b","l","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","s","e","p","t","i","b","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","e","n","s","a","t","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l","u","s","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","m","o","<U+027E>","t","i","s","a","s","i","o","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"t","e","<U+027E>","m","i","n","a","n","t","e","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA
"<U+027E>","e","b","a","s","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d","m","i","<U+027E>","a","d","o","<U+027E>","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","n","s","i","s","i","b","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"m","a","g","n","i","f","i","k","a","m","e","n","t","e",NA,NA,NA,NA,NA,NA,NA,NA
"f","a","s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","<U+027E>","b","i","b","a","l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","o","n","i","f","i","k","a","s","i","o","n","e","s",NA,NA,NA,NA,NA,NA,NA,NA
"k","o","m","p","l","a","s","i","d","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","f","e","k","t","w","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","a","b","<U+027E>","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b","e","t","t","e","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","u","g","w","<U+027E>","j","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p","<U+027E>","o","b","e","t<U+0361><U+0283>","o","s","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d","e","s","e","n","s","i","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","b","o","g","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s","u","p","p","o","<U+027E>","t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a","d","x","u","d","i","k","a","<U+027E>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
